name,binary,number,core_meaning,health_domain,infrastructure_domain,positive_manifestation,negative_manifestation,action_guidance
Ogbe,0000,1,"Light, Clarity, Manifestation, Good Character","Vitality, wellness, prevention, holistic health","Foundation, structural integrity, source systems, water source quality","Clear vision, strong foundation, abundant flow","Arrogance, overconfidence, neglect of maintenance","Remain vigilant, maintain good character, inspect foundations"
Oyeku,1111,2,"Darkness, Death, Endings, The Unknown","Disease, mortality, chronic conditions, end-of-life","System failure, contamination, complete breakdown, dead zones","Necessary endings, cleansing, renewal after darkness","Disease outbreak, system collapse, contamination","Cleanse thoroughly, prepare for renewal, investigate hidden threats"
Iwori,1001,3,"Fire, Transformation, Conflict, Identity","Inflammation, fever, acute conditions, immune response","Disruption, conflict points, pressure buildup, system stress","Transformative change, purification through fire","Destructive conflict, system disruption, delays","Pause and assess, manage conflicts, prevent escalation"
Odi,0110,4,"Blockage, Obstruction, Boundaries","Blockages, constipation, circulation issues, stagnation","Pipe blockages, flow obstruction, clogged systems","Healthy boundaries, protective barriers","Complete blockage, system shutdown, stagnation","Clear blockages, set boundaries, restore flow"
Irosun,0011,5,"Healing, Medicine, Ancestral Connection","Healing processes, medicine, treatment, recovery","Repair, restoration, treatment systems, purification","Effective healing, successful treatment, restoration","Clouded judgment, ineffective treatment, emotional blockage","Apply healing measures, connect with ancestral wisdom, treat root causes"
Owonrin,1100,6,"Chaos, Disorder, Inversion, Change","Chaos in body systems, disorder, epidemic conditions","System chaos, disorder, multiple failures, cascading problems","Necessary chaos before new order, transformation","Poverty, disease, famine, drought, pestilence","Restore order, manage chaos, prevent cascading failures"
Obara,0111,7,"Family, Community, Energy, Positive Action","Community health, family wellness, social determinants","Community systems, shared resources, collective infrastructure","Strong community, positive collective action, resilience","Family discord, community breakdown, spiritual warmth issues","Strengthen community bonds, respect relationships, collective action"
Okanran,1110,8,"Loss, Destruction, Difficult Processes","Loss of function, destructive processes, degenerative conditions","Infrastructure loss, destruction, degradation","Formative difficult experiences, growth through hardship","Severe loss, destruction, system degradation","Accept difficult processes, learn from loss, rebuild carefully"
Ogunda,0001,9,"War, Conflict Resolution, Strength, Overcoming","Fighting disease, immune warfare, aggressive treatment","System conflicts, competing demands, resource wars","Overcoming obstacles, conflict resolution, strength","Violence, wounds, incisions, destructive conflict","Resolve conflicts strategically, overcome obstacles, avoid violence"
Osa,1000,10,"Change, Transformation, Magic, Escape","Transformative healing, magical interventions, sudden changes","System transformation, magical solutions, paradigm shifts","Positive transformation, balance through change, power","Chaotic change, external magical influence, instability","Embrace transformation, seek balance, manage external influences"
Ika,1011,11,"Deception, Corruption, Order, Balance","Deceptive symptoms, hidden conditions, corruption in body","Corruption, deceptive failures, hidden system problems","Divine correction, restored order and balance","Deception, corruption, evil thoughts manifesting","Investigate hidden issues, restore order, correct corruption"
Oturupon,0100,12,"Suffering, Hardship, Endurance, Hidden Truths","Chronic suffering, endurance through illness, hidden conditions","Enduring hardship, hidden infrastructure problems, resilience","Endurance, resilience, revealing hidden truths","Hoarded blessings bring loss, breaking sacred promises","Endure with resilience, reveal hidden truths, share blessings"
Otura,0010,13,"Revelation, Insight, Clarity, Destiny","Diagnostic clarity, insight into conditions, revelatory healing","System insights, diagnostic clarity, revealing problems","Insight after darkness, clarity, destiny alignment","Confusion, misalignment, lack of clarity","Seek clarity, align with destiny, reveal hidden insights"
Irete,0101,14,"Determination, Perseverance, Following Precepts","Treatment adherence, determined recovery, following protocols","Following standards, strict maintenance, determined repair","Success through determination, following guidance","Failure from not following precepts, lack of discipline","Follow precepts strictly, persevere, maintain discipline"
Ose,1010,15,"Abundance, Prosperity, Change, Rituals","Abundant health, prosperity in wellness, ritual healing","Abundant resources, prosperous systems, ritual maintenance","Unimaginable success, abundance, completion of cycles","Lack of abundance, incomplete cycles, ineffective rituals","Consistent intelligent effort, perform rituals, complete cycles"
Ofun,0101,16,"Wisdom, Knowledge, Mysteries, Purity","Wisdom in healing, knowledge-based treatment, pure health","Knowledge systems, wise management, pure water systems","Deep wisdom, pure knowledge, mystery revealed","Lack of wisdom, ignorance, impurity","Seek wisdom, apply knowledge, maintain purity"
